cpt_code_range,ccs_numerical_label
33750-33768,56
35501-35515,56
35526-35531,56
35535-35536,56
35560-35563,56
35601-35612,56
35626-35636,56
35642-35645,56
35663-35663,56
36840-36845,56
37140-37183,56
36147-36148,57
36800-36821,57
36825-36830,57
36832-36835,57
37190-37190,57
G0365-G0365,57
90918-90940,58
90998-90998,58
G0257-G0257,58
G0308-G0308,58
G0309-G0309,58
G0310-G0310,58
G0311-G0311,58
G0312-G0312,58
G0313-G0313,58
G0314-G0314,58
G0315-G0315,58
G0316-G0316,58
G0317-G0317,58
G0318-G0318,58
G0319-G0319,58
0005T-0006T,59
0037T-0037T,59
0075T-0076T,59
0266T-0271T,59
33889-33891,59
34001-34001,59
34471-34471,59
35001-35005,59
35180-35180,59
35188-35188,59
35231-35231,59
35261-35261,59
35691-35697,59
35701-35701,59
35800-35800,59
37215-37216,59
37565-37606,59
37609-37615,59
60600-60605,59
61609-61613,59
61623-61711,59
34201-34203,60
34421-34451,60
35302-35306,60
35355-35381,60
35454-35456,60
35459-35459,60
35470-35470,60
35473-35474,60
35482-35483,60
35485-35485,60
35492-35493,60
35495-35495,60
35700-35700,60
35903-35903,60
0078T-0078T,61
0079T-0079T,61
0080T-0080T,61
0081T-0081T,61
0153T-0154T,61
0234T-0238T,61
0254T-0255T,61
33320-33322,61
33508-33508,61
33690-33690,61
33788-33800,61
33910-33917,61
33922-33922,61
33925-33926,61
34051-34151,61
34401-34401,61
34490-34510,61
34530-34826,61
34833-34834,61
34841-34900,61
35011-35045,61
35111-35162,61
35182-35184,61
35189-35226,61
35236-35256,61
35266-35286,61
35311-35351,61
35450-35452,61
35458-35458,61
35460-35460,61
35471-35472,61
35475-35481,61
35484-35484,61
35490-35491,61
35494-35494,61
35500-35500,61
35572-35572,61
35681-35683,61
35721-35761,61
35820-35900,61
35905-35910,61
36260-36262,61
36470-36471,61
36831-36831,61
36860-36870,61
37184-37188,61
37204-37208,61
37210-37210,61
37212-37214,61
37217-37244,61
37500-37500,61
37607-37607,61
37616-37660,61
37788-37799,61
50100-50100,61
G0269-G0269,61
G0392-G0392,61
G0393-G0393,61
M0301-M0301,61
S2130-S2130,61
S2131-S2131,61
0085T-0085T,62
0086T-0086T,62
0104T-0105T,62
0272T-0272T,62
0291T-0292T,62
0311T-0311T,62
0326T-0328T,62
0337T-0337T,62
32603-32604,62
33282-33284,62
35400-35400,62
36005-36005,62
37200-37200,62
37501-37501,62
93024-93024,62
93204-93204,62
93222-93222,62
93260-93261,62
93505-93505,62
93600-93644,62
93701-93701,62
93736-93740,62
93750-93790,62
93799-93799,62
93920-93924,62
93982-93982,62
93998-93998,62
M0302-M0302,62
S3902-S3902,62
0273T-0273T,63
0281T-0281T,63
33010-33011,63
36002-36002,63
36420-36425,63
36468-36469,63
36475-36479,63
36490-36491,63
36550-36550,63
36575-36576,63
36589-36593,63
36596-36596,63
36838-36838,63
37191-37195,63
92950-92960,63
G0159-G0159,63
G0166-G0166,63
M0300-M0300,63
38205-38215,64
38231-38231,64
38240-38243,64
86915-86915,64
G0267-G0267,64
S2140-S2140,64
38220-38221,65
85095-85095,65
85100-85102,65
G0364-G0364,65
38100-38129,66
56345-56345,66
0265T-0265T,67
32674-32674,67
36680-36680,67
38204-38204,67
38230-38230,67
38232-38232,67
38300-38780,67
38794-38999,67
49062-49062,67
49323-49323,67
56312-56314,67
79420-79420,67
92974-92974,67
43243-43244,68
43400-43400,68
43195-43196,69
43213-43214,69
43220-43226,69
43233-43233,69
43248-43249,69
43450-43460,69
43510-43510,69
0057T-0057T,70
0133T-0133T,70
43180-43193,70
43197-43212,70
43217-43219,70
43228-43232,70
43234-43242,70
43247-43247,70
43250-43259,70
43266-43266,70
43270-43270,70
43600-43600,70
44360-44361,70
44376-44377,70
44379-44386,70
C9704-C9704,70
C9724-C9724,70
G6018-G6018,70
S2215-S2215,70
43246-43246,71
43653-43653,71
43750-43750,71
43760-43760,71
43830-43832,71
44373-44373,71
49440-49440,71
49450-49450,71
49452-49452,71
56346-56346,71
44188-44188,72
44320-44345,72
44605-44605,72
45563-45563,72
45805-45805,72
45825-45825,72
